epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.75122,2.17161,2.3272,1.94689,0.14245,0.31051,0.12992,0.04754,1.42214,171.499,1.76195,0.000659574,0.000659574,0.000659574
2,14.6913,2.27936,2.09598,2.01481,0.00188,0.1956,0.00119,0.00033,nan,nan,nan,0.00127372,0.00127372,0.00127372
3,24.4205,2.34449,2.20234,2.04125,0.00482,0.02445,0.003,0.00078,nan,nan,nan,0.00183507,0.00183507,0.00183507
4,35.0063,2.26695,2.19019,1.98862,0.35359,0.21516,0.17661,0.07168,nan,nan,nan,0.0017624,0.0017624,0.0017624
5,45.5243,2.19019,2.0629,1.92454,0.22828,0.30807,0.14877,0.0525,1.37466,29.504,1.2818,0.0016832,0.0016832,0.0016832
6,55.9997,2.11833,1.93259,1.87152,0.5783,0.43032,0.45792,0.19844,1.2028,8.23579,1.11504,0.001604,0.001604,0.001604
7,65.8527,2.08898,1.81242,1.84411,0.57718,0.44057,0.45686,0.20719,1.19735,3.52275,1.1108,0.0015248,0.0015248,0.0015248
8,72.6888,2.06951,1.81431,1.81473,0.45355,0.41196,0.38973,0.17862,1.1647,13.2807,1.06577,0.0014456,0.0014456,0.0014456
9,79.3702,2.03572,1.75671,1.80404,0.56285,0.46277,0.51389,0.26046,1.07808,2.74445,1.05692,0.0013664,0.0013664,0.0013664
10,86.0007,1.99049,1.68742,1.77604,0.66127,0.45232,0.53067,0.26118,1.08775,11.5475,1.01234,0.0012872,0.0012872,0.0012872
11,92.694,1.93811,1.58908,1.73113,0.67244,0.46944,0.55603,0.29409,1.05343,2.82327,1.00936,0.001208,0.001208,0.001208
12,99.1548,1.97296,1.6128,1.74043,0.65742,0.4739,0.54446,0.26948,1.08844,1.43144,1.05145,0.0011288,0.0011288,0.0011288
13,105.601,1.94858,1.58228,1.73007,0.68505,0.56904,0.64249,0.3455,0.98676,3.32581,0.96338,0.0010496,0.0010496,0.0010496
14,112.074,1.95078,1.58371,1.75145,0.66431,0.6088,0.64116,0.31967,1.06914,4.28734,1.00986,0.0009704,0.0009704,0.0009704
15,118.744,1.91759,1.49052,1.70552,0.69622,0.57702,0.64604,0.32767,1.0479,1.64648,1.00821,0.0008912,0.0008912,0.0008912
16,141.109,1.95067,1.45423,1.81517,0.66569,0.51589,0.59095,0.28964,1.11791,1.01182,1.05434,0.000812,0.000812,0.000812
17,147.663,1.97156,1.47362,1.83037,0.76485,0.57702,0.67038,0.36865,0.99764,3.02805,0.96393,0.0007328,0.0007328,0.0007328
18,154.474,1.91405,1.40505,1.78372,0.7173,0.60798,0.68352,0.36059,0.98323,3.12754,0.95659,0.0006536,0.0006536,0.0006536
19,160.85,1.88518,1.35045,1.79134,0.73428,0.57213,0.6666,0.37372,0.97541,2.44466,0.95802,0.0005744,0.0005744,0.0005744
20,167.281,1.87739,1.30122,1.76359,0.66125,0.58705,0.62937,0.32699,1.04683,3.42483,0.99928,0.0004952,0.0004952,0.0004952
21,173.686,1.831,1.28843,1.73234,0.73909,0.61858,0.70046,0.40386,0.94879,1.81174,0.93912,0.000416,0.000416,0.000416
22,180.309,1.81981,1.25579,1.71827,0.7731,0.59147,0.70025,0.38671,0.96428,2.29395,0.92832,0.0003368,0.0003368,0.0003368
23,186.675,1.79827,1.22435,1.70372,0.72591,0.65281,0.72971,0.40687,0.93534,3.52583,0.91642,0.0002576,0.0002576,0.0002576
24,193.169,1.78153,1.19089,1.69309,0.76842,0.64548,0.73239,0.41228,0.95155,1.45628,0.92708,0.0001784,0.0001784,0.0001784
25,199.92,1.77707,1.14487,1.66525,0.80627,0.63081,0.73959,0.42549,0.93089,1.5716,0.90446,9.92e-05,9.92e-05,9.92e-05
