epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.51146,1.97056,2.46405,1.65065,0.36675,0.27384,0.2291,0.10338,1.12229,16.2894,0.99555,0.000659574,0.000659574,0.000659574
2,10.122,2.05885,1.99327,1.72188,0.4351,0.36911,0.35532,0.14178,1.25477,27.3957,1.09512,0.00129998,0.00129998,0.00129998
3,14.5818,2.12422,1.94677,1.72855,0.48701,0.32274,0.32219,0.13999,1.26798,5.33257,1.1617,0.00191399,0.00191399,0.00191399
4,19.0613,2.08643,1.89137,1.71795,0.40887,0.42298,0.32641,0.11924,1.35075,29.6143,1.1614,0.0018812,0.0018812,0.0018812
5,23.4599,2.03832,1.81602,1.68513,0.5322,0.49633,0.47139,0.19617,1.21338,5.09748,1.03653,0.0018416,0.0018416,0.0018416
6,27.8081,2.00697,1.744,1.68149,0.50335,0.35208,0.32516,0.16455,1.16591,27.4048,0.98927,0.001802,0.001802,0.001802
7,32.2448,1.98373,1.62859,1.64994,0.74512,0.53545,0.64081,0.30617,1.07514,5.28157,0.91956,0.0017624,0.0017624,0.0017624
8,36.5662,1.96128,1.63634,1.62998,0.63461,0.47188,0.55014,0.28531,1.07735,2.04339,0.89917,0.0017228,0.0017228,0.0017228
9,40.921,1.94537,1.54513,1.63045,0.60932,0.51345,0.55828,0.28789,1.02881,4.77157,0.91564,0.0016832,0.0016832,0.0016832
10,45.3909,1.93908,1.55157,1.64301,0.68679,0.54148,0.62083,0.32555,1.00109,5.6617,0.87655,0.0016436,0.0016436,0.0016436
11,51.3943,1.86869,1.44677,1.58399,0.62494,0.53301,0.59682,0.31309,1.05646,1.61235,0.91662,0.001604,0.001604,0.001604
12,59.9701,1.92002,1.50316,1.6092,0.67799,0.58172,0.65349,0.35177,1.00427,8.70105,0.86942,0.0015644,0.0015644,0.0015644
13,68.4482,1.88736,1.46913,1.59723,0.77932,0.60442,0.6839,0.36782,0.9991,3.9506,0.87957,0.0015248,0.0015248,0.0015248
14,73.4144,1.89569,1.51694,1.60365,0.79453,0.59564,0.68251,0.35862,0.99722,5.43679,0.87606,0.0014852,0.0014852,0.0014852
15,77.7716,1.90813,1.43467,1.61816,0.7908,0.60998,0.70356,0.38158,0.9853,1.7663,0.87124,0.0014456,0.0014456,0.0014456
16,82.1992,1.86531,1.42489,1.59739,0.70776,0.58031,0.66204,0.34604,1.014,4.74721,0.86641,0.001406,0.001406,0.001406
17,86.6536,1.86376,1.40538,1.58345,0.79554,0.61837,0.71115,0.37641,0.99313,1.77927,0.85055,0.0013664,0.0013664,0.0013664
18,91.0092,1.87049,1.40378,1.58348,0.7809,0.58924,0.71312,0.38733,0.97262,2.32635,0.83153,0.0013268,0.0013268,0.0013268
19,95.3949,1.82163,1.35812,1.53795,0.76088,0.59413,0.71372,0.39272,0.94966,3.77043,0.82847,0.0012872,0.0012872,0.0012872
20,99.7481,1.8042,1.36216,1.54101,0.75419,0.62103,0.73037,0.40374,0.95571,2.01236,0.826,0.0012476,0.0012476,0.0012476
21,104.051,1.78938,1.31553,1.52713,0.78249,0.64211,0.7317,0.40319,0.96527,0.98144,0.84446,0.001208,0.001208,0.001208
22,108.4,1.78899,1.2808,1.5304,0.74938,0.62347,0.71731,0.39496,0.98986,2.32663,0.84933,0.0011684,0.0011684,0.0011684
23,112.851,1.77715,1.26918,1.54077,0.81898,0.63081,0.76247,0.41369,0.96432,2.13657,0.84294,0.0011288,0.0011288,0.0011288
24,117.183,1.80112,1.28723,1.53211,0.74667,0.64303,0.74987,0.41798,0.95433,1.52703,0.81485,0.0010892,0.0010892,0.0010892
25,121.557,1.76684,1.28736,1.50706,0.83278,0.64303,0.77451,0.43768,0.91425,1.83135,0.80453,0.0010496,0.0010496,0.0010496
26,125.902,1.7555,1.27406,1.50142,0.74519,0.65526,0.75863,0.40979,0.97131,1.28721,0.84405,0.00101,0.00101,0.00101
27,130.288,1.75597,1.26253,1.49124,0.82443,0.63081,0.75825,0.42349,0.93658,1.38242,0.82216,0.0009704,0.0009704,0.0009704
28,134.724,1.75066,1.25355,1.49899,0.7274,0.66546,0.75729,0.40251,0.98662,1.42188,0.85198,0.0009308,0.0009308,0.0009308
29,139.114,1.74173,1.24617,1.50096,0.83692,0.6525,0.77152,0.44458,0.89344,3.34675,0.79547,0.0008912,0.0008912,0.0008912
30,143.427,1.73678,1.2205,1.49697,0.83287,0.59902,0.74153,0.42015,0.93174,1.40144,0.82097,0.0008516,0.0008516,0.0008516
31,147.801,1.72073,1.20871,1.48241,0.79483,0.66305,0.76579,0.43765,0.90963,2.00503,0.80299,0.000812,0.000812,0.000812
32,152.154,1.74441,1.2182,1.49314,0.77812,0.67726,0.77416,0.44399,0.90761,1.37342,0.8048,0.0007724,0.0007724,0.0007724
